Model,Approach,Features,Fold,MSE,RMSE,MAE,R2,SMAPE
BASELINE,Baseline,noExog,Fold1,92111.10,303.50,138.86,0.8218,68.98%
BASELINE,Baseline,noExog,Fold2,76771.27,277.08,129.58,0.8394,67.43%
BASELINE,Baseline,noExog,Fold3,55568.01,235.73,102.07,0.8863,80.36%
BASELINE,Baseline,noExog,Average,74816.79 ± 18349.78,272.10 ± 34.16,123.51 ± 19.13,0.8492 ± 0.0333,72.26% ± 7.06%
