Model,Approach,Features,Fold,MSE,RMSE,MAE,R2,SMAPE
NBEATS,Uni,noExog,Fold1,51403.67,226.72,100.13,0.8981,73.63%
NBEATS,Uni,noExog,Fold2,53023.50,230.27,98.24,0.8829,71.94%
NBEATS,Uni,noExog,Fold3,42551.48,206.28,86.01,0.9125,68.83%
NBEATS,Uni,noExog,Average,48992.89 ± 5636.91,221.09 ± 12.95,94.79 ± 7.67,0.8978 ± 0.0148,71.47% ± 2.43%
NBEATSx,Multi,Exog,Fold1,62760.59,250.52,105.39,0.8756,62.88%
NBEATSx,Multi,Exog,Fold2,66053.80,257.01,109.08,0.8541,89.22%
NBEATSx,Multi,Exog,Fold3,55329.77,235.22,96.02,0.8862,75.74%
NBEATSx,Multi,Exog,Average,61381.39 ± 5493.44,247.58 ± 11.19,103.49 ± 6.73,0.8720 ± 0.0164,75.95% ± 13.18%
