fold,<10%_count,10-20%_count,20-30%_count,30-40%_count,>40%_count,<10%_pct,10-20%_pct,20-30%_pct,30-40%_pct,>40%_pct
Fold 1,180,84,94,85,876,13.646702047005308,6.368460955269144,7.12661106899166,6.444275966641396,66.41394996209249
Fold 2,103,107,114,114,892,7.7443609022556394,8.045112781954886,8.571428571428571,8.571428571428571,67.06766917293233
Fold 3,166,155,131,91,812,12.250922509225093,11.439114391143912,9.66789667896679,6.715867158671587,59.92619926199262
