fold,mse,rmse,mae,r2,smape
Fold 1,97103.51303245017,311.61436589549294,138.18279140468687,0.8259279361247516,87.96775397858748
Fold 2,86275.47038386743,293.72686357203935,127.68214156489978,0.8278845649238659,87.57051704902213
Fold 3,60979.472977151505,246.94022146493572,106.34271178124575,0.8838913984774377,90.55693615697929
