fold,mse,rmse,mae,r2,smape
Fold 1,109459.21728380154,330.8462139481145,149.10083484648905,0.8037785527245221,103.49476705245577
Fold 2,94324.32972596328,307.12266234513413,128.3565188578345,0.8118274756797546,82.87734942695735
Fold 3,75535.40953121138,274.83705996683085,116.32533398504481,0.8561760156669582,86.61760469154022
