fold,<10%_count,10-20%_count,20-30%_count,30-40%_count,>40%_count,<10%_pct,10-20%_pct,20-30%_pct,30-40%_pct,>40%_pct
Fold 1,22,57,87,66,1087,1.6679302501895377,4.321455648218348,6.595905989385899,5.003790750568612,82.4109173616376
Fold 2,33,129,147,124,897,2.481203007518797,9.699248120300751,11.052631578947368,9.323308270676693,67.44360902255639
Fold 3,57,186,177,124,811,4.206642066420664,13.726937269372694,13.062730627306273,9.15129151291513,59.85239852398524
