metric,mean,std
MSE,93106.31884699206,16994.671105515496
RMSE,304.26864542002653,28.11343792355154
MAE,131.2608958964561,16.579653755928906
R²,0.8239273480237449,0.028216638952161522
SMAPE,90.99657372365112,10.984125123294657
