ts_key,smape,category
ALFA ROMEO_GIULIA_All_Wheel_Drive,138.2177673537931,>40%
ALFA ROMEO_GIULIA_Diesel,200.0,>40%
ALFA ROMEO_GIULIA_Petrol,132.52291812202384,>40%
ALFA ROMEO_GIULIA_Total,75.10370760696287,>40%
ALFA ROMEO_STELVIO_All_Wheel_Drive,49.49920329700584,>40%
ALFA ROMEO_STELVIO_Diesel,184.72724118634477,>40%
ALFA ROMEO_STELVIO_Petrol,114.46187925671158,>40%
ALFA ROMEO_STELVIO_Total,60.14343085599971,>40%
ALFA ROMEO_TONALE_All_Wheel_Drive,200.0,>40%
ALFA ROMEO_TONALE_Diesel,200.0,>40%
ALFA ROMEO_TONALE_Hybrid,55.57913431469812,>40%
ALFA ROMEO_TONALE_Total,51.29325678742593,>40%
ALPINE_A110_Petrol,200.0,>40%
ALPINE_A110_Total,200.0,>40%
ASTON MARTIN_DBX_All_Wheel_Drive,200.0,>40%
ASTON MARTIN_DBX_Petrol,200.0,>40%
ASTON MARTIN_DBX_Total,200.0,>40%
AUDI_A1_Petrol,23.221890393724397,20-30%
AUDI_A1_Total,21.80859449143277,20-30%
AUDI_A3_All_Wheel_Drive,20.83059306231602,20-30%
AUDI_A3_Diesel,9.9670908714498,<10%
AUDI_A3_Hybrid,23.641307003265066,20-30%
AUDI_A3_Petrol,2.978295700238365,<10%
AUDI_A3_Total,13.389459901644962,10-20%
AUDI_A4_All_Wheel_Drive,96.16285000270909,>40%
AUDI_A4_Hybrid,95.08345204173533,>40%
AUDI_A4_Petrol,96.90967025590028,>40%
AUDI_A4_Total,94.60299719683887,>40%
AUDI_A5_All_Wheel_Drive,27.108131047824486,20-30%
AUDI_A5_Convertibles,82.95343980245708,>40%
AUDI_A5_Diesel,0.0,<10%
AUDI_A5_Hybrid,25.6037835878635,20-30%
AUDI_A5_Petrol,69.87699202374552,>40%
AUDI_A5_Total,41.87025250815593,>40%
AUDI_A6_All_Wheel_Drive,30.319586083716104,30-40%
AUDI_A6_Diesel,66.66666666666666,>40%
AUDI_A6_Electric_BEV,199.1247977930276,>40%
AUDI_A6_Hybrid,26.781623619215367,20-30%
AUDI_A6_Petrol,133.33333333333331,>40%
AUDI_A6_Total,41.080375830451544,>40%
AUDI_A7_All_Wheel_Drive,41.736135368136985,>40%
AUDI_A7_Hybrid,35.44700191439645,30-40%
AUDI_A7_Petrol,0.0,<10%
AUDI_A7_Total,37.07182306100855,30-40%
AUDI_A8_All_Wheel_Drive,58.81794186092348,>40%
AUDI_A8_Hybrid,57.705866341476394,>40%
AUDI_A8_Petrol,0.0,<10%
AUDI_A8_Total,49.79568077439391,>40%
AUDI_E-TRON GT_All_Wheel_Drive,91.98443559361249,>40%
