ts_key,smape,category
ALFA ROMEO_GIULIA_All_Wheel_Drive,128.09028458190622,>40%
ALFA ROMEO_GIULIA_Diesel,200.0,>40%
ALFA ROMEO_GIULIA_Petrol,117.02088646290241,>40%
ALFA ROMEO_GIULIA_Total,131.3090526647483,>40%
ALFA ROMEO_STELVIO_All_Wheel_Drive,50.637969757131074,>40%
ALFA ROMEO_STELVIO_Diesel,77.8384391595158,>40%
ALFA ROMEO_STELVIO_Petrol,104.52284051376456,>40%
ALFA ROMEO_STELVIO_Total,49.88009409581976,>40%
ALFA ROMEO_TONALE_All_Wheel_Drive,200.0,>40%
ALFA ROMEO_TONALE_Diesel,200.0,>40%
ALFA ROMEO_TONALE_Hybrid,93.56254721477599,>40%
ALFA ROMEO_TONALE_Total,89.48037218626999,>40%
ALPINE_A110_Petrol,200.0,>40%
ALPINE_A110_Total,200.0,>40%
ASTON MARTIN_DBX_All_Wheel_Drive,200.0,>40%
ASTON MARTIN_DBX_Petrol,200.0,>40%
ASTON MARTIN_DBX_Total,200.0,>40%
ASTON MARTIN_SONSTIGE_All_Wheel_Drive,0.0,<10%
ASTON MARTIN_SONSTIGE_Convertibles,0.0,<10%
ASTON MARTIN_SONSTIGE_Petrol,0.0,<10%
ASTON MARTIN_SONSTIGE_Total,0.0,<10%
AUDI_A1_Petrol,34.2295980738029,30-40%
AUDI_A1_Total,36.12374317704051,30-40%
AUDI_A3_All_Wheel_Drive,43.72918457625968,>40%
AUDI_A3_Diesel,46.91191633108643,>40%
AUDI_A3_Hybrid,27.648672155870095,20-30%
AUDI_A3_Petrol,69.21730608476295,>40%
AUDI_A3_Total,19.50528314448547,10-20%
AUDI_A4_All_Wheel_Drive,19.51871016827246,10-20%
AUDI_A4_Hybrid,47.65212730845188,>40%
AUDI_A4_Petrol,66.83946408989199,>40%
AUDI_A4_Total,39.76901605971225,30-40%
AUDI_A5_All_Wheel_Drive,63.21067671779011,>40%
AUDI_A5_Convertibles,32.244213557076954,30-40%
AUDI_A5_Diesel,200.0,>40%
AUDI_A5_Hybrid,73.60312040073076,>40%
AUDI_A5_Petrol,102.1136919627925,>40%
AUDI_A5_Total,72.15196064798126,>40%
AUDI_A6_All_Wheel_Drive,26.69311722354329,20-30%
AUDI_A6_Diesel,0.0,<10%
AUDI_A6_Electric_BEV,200.0,>40%
AUDI_A6_Hybrid,26.7076312659139,20-30%
AUDI_A6_Petrol,200.0,>40%
AUDI_A6_Total,27.76951426312945,20-30%
AUDI_A7_All_Wheel_Drive,146.61810353794033,>40%
AUDI_A7_Hybrid,124.52724151437786,>40%
AUDI_A7_Petrol,66.66666666666666,>40%
AUDI_A7_Total,118.74612747528023,>40%
AUDI_A8_All_Wheel_Drive,115.45903323069153,>40%
AUDI_A8_Hybrid,119.00888231229392,>40%
AUDI_A8_Petrol,66.66666666666666,>40%
AUDI_A8_Total,138.03798738856352,>40%
AUDI_E-TRON GT_All_Wheel_Drive,30.85260790955132,30-40%
AUDI_E-TRON GT_Electric_BEV,68.27533785190337,>40%
AUDI_E-TRON GT_Total,54.4295327651218,>40%
AUDI_Q2_All_Wheel_Drive,47.54175543883312,>40%
AUDI_Q2_Diesel,38.846320105724395,30-40%
AUDI_Q2_Petrol,30.752968083675427,30-40%
AUDI_Q2_Total,27.03432158161105,20-30%
AUDI_Q3_All_Wheel_Drive,10.853826886296066,10-20%
AUDI_Q3_Diesel,5.11342583949815,<10%
AUDI_Q3_Hybrid,132.24287129160962,>40%
AUDI_Q3_Petrol,18.13259905868312,10-20%
AUDI_Q3_Total,14.019466099701292,10-20%
AUDI_Q4_All_Wheel_Drive,10.692459649566171,10-20%
AUDI_Q4_Electric_BEV,15.292830392760118,10-20%
AUDI_Q4_Total,14.97641503449435,10-20%
AUDI_Q5_All_Wheel_Drive,22.351294649213948,20-30%
AUDI_Q5_Diesel,0.0,<10%
AUDI_Q5_Hybrid,21.475398845159354,20-30%
AUDI_Q5_Petrol,66.66666666666666,>40%
AUDI_Q5_Total,19.34918191825172,10-20%
AUDI_Q6_All_Wheel_Drive,55.273853457192914,>40%
AUDI_Q6_Electric_BEV,67.15153317982673,>40%
AUDI_Q6_Total,67.13537184641666,>40%
AUDI_Q7_All_Wheel_Drive,93.8871047050477,>40%
AUDI_Q7_Diesel,0.0,<10%
AUDI_Q7_Hybrid,100.75779719740376,>40%
AUDI_Q7_Petrol,200.0,>40%
AUDI_Q7_Total,97.94369161815334,>40%
AUDI_Q8_All_Wheel_Drive,50.51591908587682,>40%
AUDI_Q8_Diesel,0.0,<10%
AUDI_Q8_Electric_BEV,61.59961241040618,>40%
AUDI_Q8_Hybrid,114.78770714937066,>40%
AUDI_Q8_Petrol,185.30723844670644,>40%
AUDI_Q8_Total,53.95208839635881,>40%
AUDI_R8_All_Wheel_Drive,200.0,>40%
AUDI_R8_Convertibles,200.0,>40%
AUDI_R8_Petrol,200.0,>40%
AUDI_R8_Total,200.0,>40%
AUDI_SONSTIGE_All_Wheel_Drive,162.83830735642414,>40%
AUDI_SONSTIGE_Diesel,200.0,>40%
AUDI_SONSTIGE_Electric_BEV,0.0,<10%
AUDI_SONSTIGE_Hybrid,200.0,>40%
AUDI_SONSTIGE_Petrol,200.0,>40%
AUDI_SONSTIGE_Total,112.90894339641673,>40%
AUDI_TT_All_Wheel_Drive,89.90054556785127,>40%
AUDI_TT_Convertibles,177.78401012408563,>40%
AUDI_TT_Petrol,132.51609157727069,>40%
AUDI_TT_Total,136.92237896603245,>40%
BENTLEY_BENTAYGA_All_Wheel_Drive,200.0,>40%
BENTLEY_BENTAYGA_Hybrid,66.66666666666666,>40%
BENTLEY_BENTAYGA_Petrol,200.0,>40%
BENTLEY_BENTAYGA_Total,200.0,>40%
BENTLEY_CONTINENTAL_All_Wheel_Drive,200.0,>40%
BENTLEY_CONTINENTAL_Convertibles,200.0,>40%
BENTLEY_CONTINENTAL_Hybrid,133.33333333333331,>40%
BENTLEY_CONTINENTAL_Petrol,200.0,>40%
BENTLEY_CONTINENTAL_Total,200.0,>40%
BMW_1ER_All_Wheel_Drive,116.64131411195878,>40%
BMW_1ER_Diesel,113.02452377414669,>40%
BMW_1ER_Electric_BEV,0.0,<10%
BMW_1ER_Hybrid,194.44126557278264,>40%
BMW_1ER_Petrol,72.39973637465292,>40%
BMW_1ER_Total,44.78166373271274,>40%
BMW_2ER_All_Wheel_Drive,40.99857045754822,>40%
BMW_2ER_Diesel,85.51610280305405,>40%
BMW_2ER_Hybrid,45.2538911243008,>40%
BMW_2ER_Petrol,10.736984688583,10-20%
BMW_2ER_Total,12.607156767166924,10-20%
BMW_3ER_All_Wheel_Drive,26.93798453218416,20-30%
BMW_3ER_Diesel,0.0,<10%
BMW_3ER_Hybrid,7.49615078017946,<10%
BMW_3ER_Petrol,27.760122128101592,20-30%
BMW_3ER_Total,9.611320075130148,<10%
BMW_4ER_All_Wheel_Drive,41.55160467664978,>40%
BMW_4ER_Convertibles,40.94739452755077,>40%
BMW_4ER_Electric_BEV,57.77453325010917,>40%
BMW_4ER_Hybrid,42.26190924667735,>40%
BMW_4ER_Petrol,36.049335182566026,30-40%
BMW_4ER_Total,48.5915057676593,>40%
BMW_5ER_All_Wheel_Drive,82.7835545214836,>40%
BMW_5ER_Electric_BEV,46.20667293812591,>40%
BMW_5ER_Hybrid,52.4560729058154,>40%
BMW_5ER_Petrol,0.0,<10%
BMW_5ER_Total,43.550868936977025,>40%
BMW_7ER_All_Wheel_Drive,83.77763726432265,>40%
BMW_7ER_Electric_BEV,200.0,>40%
BMW_7ER_Hybrid,87.58923285679697,>40%
BMW_7ER_Petrol,0.0,<10%
BMW_7ER_Total,61.56561113026283,>40%
BMW_8ER_All_Wheel_Drive,109.66687799859966,>40%
BMW_8ER_Convertibles,200.0,>40%
BMW_8ER_Hybrid,200.0,>40%
BMW_8ER_Petrol,151.01911794568633,>40%
BMW_8ER_Total,114.44959566469642,>40%
BMW_IX_All_Wheel_Drive,27.19238137649043,20-30%
BMW_IX_Electric_BEV,24.050209694352475,20-30%
BMW_IX_Total,27.604769117022894,20-30%
BMW_SONSTIGE_All_Wheel_Drive,94.21600518468426,>40%
BMW_SONSTIGE_Convertibles,0.0,<10%
BMW_SONSTIGE_Diesel,200.0,>40%
BMW_SONSTIGE_Hybrid,200.0,>40%
BMW_SONSTIGE_Petrol,200.0,>40%
BMW_SONSTIGE_Total,97.38806679423809,>40%
BMW_X1_All_Wheel_Drive,23.945673376260203,20-30%
BMW_X1_Diesel,51.67145063022885,>40%
BMW_X1_Electric_BEV,26.568594428877446,20-30%
BMW_X1_Hybrid,33.25633635246379,30-40%
BMW_X1_Petrol,90.51069895046743,>40%
BMW_X1_Total,23.399193751940338,20-30%
BMW_X2_All_Wheel_Drive,73.7856749248825,>40%
BMW_X2_Diesel,101.49501540579774,>40%
BMW_X2_Electric_BEV,129.49518336942398,>40%
BMW_X2_Hybrid,129.11671611858324,>40%
BMW_X2_Petrol,139.97529966270594,>40%
BMW_X2_Total,65.22439229195743,>40%
BMW_X3_All_Wheel_Drive,7.541278957334613,<10%
BMW_X3_Diesel,0.0,<10%
BMW_X3_Electric_BEV,40.28363085571863,>40%
BMW_X3_Hybrid,7.665846127657117,<10%
BMW_X3_Petrol,200.0,>40%
BMW_X3_Total,14.243398414573994,10-20%
