ts_key,smape,category
BMW_1ER_Diesel,30.718832274640423,30-40%
BMW_1ER_Electric_BEV,66.66666666666666,>40%
BMW_1ER_Hybrid,35.722445669109234,30-40%
BMW_1ER_Petrol,39.03620421556602,30-40%
BMW_1ER_Total,21.675561809098788,20-30%
BMW_2ER_All_Wheel_Drive,21.00808364186154,20-30%
BMW_2ER_Diesel,56.28643882298597,>40%
BMW_2ER_Hybrid,63.102804359074014,>40%
BMW_2ER_Petrol,35.925703955558205,30-40%
BMW_2ER_Total,22.01504499884919,20-30%
BMW_3ER_All_Wheel_Drive,27.405620226961524,20-30%
BMW_3ER_Diesel,133.33333333333331,>40%
BMW_3ER_Hybrid,35.87282665541203,30-40%
BMW_3ER_Petrol,27.740262709160753,20-30%
BMW_3ER_Total,28.312983280595617,20-30%
BMW_4ER_All_Wheel_Drive,21.648896823283646,20-30%
BMW_4ER_Convertibles,30.547455068877955,30-40%
BMW_4ER_Electric_BEV,30.29740383255527,30-40%
BMW_4ER_Hybrid,36.28842483467701,30-40%
BMW_4ER_Petrol,16.928635519978275,10-20%
BMW_4ER_Total,31.27654023186292,30-40%
BMW_5ER_All_Wheel_Drive,28.04263464056474,20-30%
BMW_5ER_Electric_BEV,13.96664153057463,10-20%
BMW_5ER_Hybrid,28.759921734377098,20-30%
BMW_5ER_Petrol,133.33333333333331,>40%
BMW_5ER_Total,26.470057061484248,20-30%
BMW_7ER_All_Wheel_Drive,24.362591092102917,20-30%
BMW_7ER_Electric_BEV,34.38225121157472,30-40%
BMW_7ER_Hybrid,17.953201885987426,10-20%
BMW_7ER_Petrol,66.66666666666666,>40%
BMW_7ER_Total,17.830362573673057,10-20%
BMW_8ER_All_Wheel_Drive,36.61126967827914,30-40%
BMW_8ER_Convertibles,139.23329281607647,>40%
BMW_8ER_Hybrid,173.85709349659436,>40%
BMW_8ER_Petrol,44.613965103217474,>40%
BMW_8ER_Total,38.236565329829894,30-40%
BMW_IX_All_Wheel_Drive,32.77386102604744,30-40%
BMW_IX_Electric_BEV,33.52256806457646,30-40%
BMW_IX_Total,31.183778670070133,30-40%
BMW_SONSTIGE_All_Wheel_Drive,56.13069714728186,>40%
BMW_SONSTIGE_Convertibles,133.33333333333331,>40%
BMW_SONSTIGE_Diesel,164.68551590688054,>40%
BMW_SONSTIGE_Hybrid,135.0406538186464,>40%
BMW_SONSTIGE_Petrol,85.28105278952935,>40%
BMW_SONSTIGE_Total,61.477145911055494,>40%
BMW_X1_All_Wheel_Drive,25.795692286613136,20-30%
BMW_X1_Diesel,16.838990620145868,10-20%
BMW_X1_Electric_BEV,52.252577249148594,>40%
BMW_X1_Hybrid,24.34622045321152,20-30%
BMW_X1_Petrol,46.404806366149906,>40%
BMW_X1_Total,34.3508566485335,30-40%
BMW_X2_All_Wheel_Drive,15.152233730592124,10-20%
BMW_X2_Diesel,84.60981324054892,>40%
BMW_X2_Electric_BEV,26.515118875239068,20-30%
BMW_X2_Hybrid,17.698529136707457,10-20%
BMW_X2_Petrol,44.01445051202087,>40%
BMW_X2_Total,22.56196617146834,20-30%
BMW_X3_All_Wheel_Drive,42.646053456112945,>40%
BMW_X3_Diesel,133.33333333333331,>40%
BMW_X3_Electric_BEV,33.05498964094156,30-40%
BMW_X3_Hybrid,29.13434336006231,20-30%
BMW_X3_Petrol,110.30765472102952,>40%
BMW_X3_Total,26.77031822597219,20-30%
BMW_X4_All_Wheel_Drive,49.33510910900339,>40%
BMW_X4_Hybrid,39.47346405927335,30-40%
BMW_X4_Petrol,54.15414283392275,>40%
BMW_X4_Total,47.583894638171614,>40%
BMW_X5_All_Wheel_Drive,23.105578717082516,20-30%
BMW_X5_Diesel,66.66666666666666,>40%
BMW_X5_Hybrid,21.899930832867746,20-30%
BMW_X5_Petrol,133.33333333333331,>40%
BMW_X5_Total,21.21780569437832,20-30%
BMW_X6_All_Wheel_Drive,22.80409209171069,20-30%
BMW_X6_Hybrid,15.320895382852658,10-20%
BMW_X6_Petrol,66.66666666666666,>40%
BMW_X6_Total,16.478147118475725,10-20%
BMW_X7_All_Wheel_Drive,34.67364346507025,30-40%
BMW_X7_Diesel,66.66666666666666,>40%
BMW_X7_Hybrid,32.5482740556399,30-40%
BMW_X7_Petrol,66.66666666666666,>40%
BMW_X7_Total,33.272254474118576,30-40%
BMW_XM_All_Wheel_Drive,48.768467056787074,>40%
BMW_XM_Hybrid,54.654142412637675,>40%
BMW_XM_Total,57.52463140323756,>40%
BMW_Z4_Convertibles,54.76741815217022,>40%
BMW_Z4_Petrol,69.44688843733545,>40%
BMW_Z4_Total,68.39216973854575,>40%
BYD_ATTO 3_Electric_BEV,112.89557076098589,>40%
BYD_ATTO 3_Total,111.2011629852591,>40%
BYD_DOLPHIN_Electric_BEV,134.8291330218379,>40%
BYD_DOLPHIN_Total,33.138136917889724,30-40%
BYD_SEAL U_All_Wheel_Drive,25.041799486060164,20-30%
BYD_SEAL U_Electric_BEV,64.21842111265079,>40%
BYD_SEAL U_Hybrid,48.37750872218928,>40%
BYD_SEAL U_Total,67.1117769692485,>40%
BYD_SEAL_All_Wheel_Drive,44.0329232535487,>40%
BYD_SEAL_Electric_BEV,34.73645463848805,30-40%
BYD_SEAL_Hybrid,66.66666666666666,>40%
BYD_SEAL_Total,73.7642975100956,>40%
BYD_SONSTIGE_All_Wheel_Drive,115.6140230698077,>40%
BYD_SONSTIGE_Diesel,66.66666666666666,>40%
BYD_SONSTIGE_Electric_BEV,111.22025729393263,>40%
BYD_SONSTIGE_Hybrid,66.66666666666666,>40%
BYD_SONSTIGE_Total,113.92838320434997,>40%
BYD_TANG_All_Wheel_Drive,144.50288792416595,>40%
BYD_TANG_Electric_BEV,144.50288792416595,>40%
BYD_TANG_Total,144.50288792416595,>40%
CADILLAC_ESCALADE_All_Wheel_Drive,173.59521323593523,>40%
CADILLAC_ESCALADE_Petrol,162.9033104715241,>40%
CADILLAC_ESCALADE_Total,175.03646501016593,>40%
CADILLAC_XT4_All_Wheel_Drive,133.33333333333331,>40%
CADILLAC_XT4_Petrol,133.33333333333331,>40%
CADILLAC_XT4_Total,200.0,>40%
CITROEN_BERLINGO_Diesel,38.13014770482571,30-40%
CITROEN_BERLINGO_Electric_BEV,151.59128281031337,>40%
CITROEN_BERLINGO_Petrol,80.42192312977336,>40%
CITROEN_BERLINGO_Total,31.67565621660741,30-40%
CITROEN_C3_Electric_BEV,170.85774693119137,>40%
CITROEN_C3_Hybrid,125.74156713467579,>40%
CITROEN_C3_Petrol,35.93293108454876,30-40%
CITROEN_C3_Total,42.66995304585804,>40%
