ts_key,smape,category
ALFA ROMEO_GIULIA_All_Wheel_Drive,184.68990773734964,>40%
ALFA ROMEO_GIULIA_Diesel,200.0,>40%
ALFA ROMEO_GIULIA_Petrol,186.07526626976954,>40%
ALFA ROMEO_GIULIA_Total,181.2109296159823,>40%
ALFA ROMEO_STELVIO_All_Wheel_Drive,100.00634204831849,>40%
ALFA ROMEO_STELVIO_Diesel,200.0,>40%
ALFA ROMEO_STELVIO_Petrol,161.1908608728,>40%
ALFA ROMEO_STELVIO_Total,100.12781887418048,>40%
ALFA ROMEO_TONALE_All_Wheel_Drive,200.0,>40%
ALFA ROMEO_TONALE_Diesel,200.0,>40%
ALFA ROMEO_TONALE_Hybrid,170.0861119137536,>40%
ALFA ROMEO_TONALE_Total,163.44199283798673,>40%
ALPINE_A110_Petrol,200.0,>40%
ALPINE_A110_Total,200.0,>40%
ASTON MARTIN_DBX_All_Wheel_Drive,200.0,>40%
ASTON MARTIN_DBX_Petrol,200.0,>40%
ASTON MARTIN_DBX_Total,200.0,>40%
ASTON MARTIN_SONSTIGE_All_Wheel_Drive,0.0,<10%
ASTON MARTIN_SONSTIGE_Convertibles,0.0,<10%
ASTON MARTIN_SONSTIGE_Petrol,0.0,<10%
ASTON MARTIN_SONSTIGE_Total,0.0,<10%
AUDI_A1_Petrol,33.53552665040172,30-40%
AUDI_A1_Total,37.49174844198617,30-40%
AUDI_A3_All_Wheel_Drive,56.30955785305156,>40%
AUDI_A3_Diesel,78.47558453570814,>40%
AUDI_A3_Hybrid,32.518617808798304,30-40%
AUDI_A3_Petrol,58.083245068114074,>40%
AUDI_A3_Total,19.847329498416457,10-20%
AUDI_A4_All_Wheel_Drive,26.44286961206644,20-30%
AUDI_A4_Hybrid,57.40123795416478,>40%
AUDI_A4_Petrol,152.46977241949475,>40%
AUDI_A4_Total,51.119474334249205,>40%
AUDI_A5_All_Wheel_Drive,71.32715378679309,>40%
AUDI_A5_Convertibles,34.30609105729683,30-40%
AUDI_A5_Diesel,200.0,>40%
AUDI_A5_Hybrid,78.6605638850538,>40%
AUDI_A5_Petrol,99.83481794504706,>40%
AUDI_A5_Total,67.0505276987001,>40%
AUDI_A6_All_Wheel_Drive,31.90090191855005,30-40%
AUDI_A6_Diesel,0.0,<10%
AUDI_A6_Electric_BEV,200.0,>40%
AUDI_A6_Hybrid,30.71259955541741,30-40%
AUDI_A6_Petrol,200.0,>40%
AUDI_A6_Total,32.0600322340174,30-40%
AUDI_A7_All_Wheel_Drive,162.33253874567833,>40%
AUDI_A7_Hybrid,161.8958953338395,>40%
AUDI_A7_Petrol,66.66666666666666,>40%
AUDI_A7_Total,161.68499662427254,>40%
AUDI_A8_All_Wheel_Drive,162.64164100998084,>40%
AUDI_A8_Hybrid,163.49520671484487,>40%
AUDI_A8_Petrol,66.66666666666666,>40%
AUDI_A8_Total,160.5055799096311,>40%
AUDI_E-TRON GT_All_Wheel_Drive,140.07348925792382,>40%
AUDI_E-TRON GT_Electric_BEV,139.7022623238766,>40%
AUDI_E-TRON GT_Total,137.05480389864465,>40%
AUDI_Q2_All_Wheel_Drive,115.62775072553993,>40%
AUDI_Q2_Diesel,108.46955014755257,>40%
AUDI_Q2_Petrol,32.94079413831821,30-40%
AUDI_Q2_Total,27.388052536058254,20-30%
AUDI_Q3_All_Wheel_Drive,29.8573850789913,20-30%
AUDI_Q3_Diesel,17.308439134954636,10-20%
AUDI_Q3_Hybrid,162.8557106069149,>40%
AUDI_Q3_Petrol,30.797982439978394,30-40%
AUDI_Q3_Total,28.131177438860206,20-30%
AUDI_Q4_All_Wheel_Drive,34.15260415800092,30-40%
AUDI_Q4_Electric_BEV,33.85473405205357,30-40%
AUDI_Q4_Total,35.23355210710598,30-40%
AUDI_Q5_All_Wheel_Drive,19.76713744093862,10-20%
AUDI_Q5_Diesel,0.0,<10%
AUDI_Q5_Hybrid,17.681368993538246,10-20%
AUDI_Q5_Petrol,66.66666666666666,>40%
AUDI_Q5_Total,18.92502153917888,10-20%
AUDI_Q6_All_Wheel_Drive,87.22031119220146,>40%
AUDI_Q6_Electric_BEV,95.45133692504537,>40%
AUDI_Q6_Total,83.50127197808314,>40%
AUDI_Q7_All_Wheel_Drive,108.41845895606403,>40%
AUDI_Q7_Diesel,0.0,<10%
AUDI_Q7_Hybrid,120.26065495033798,>40%
AUDI_Q7_Petrol,172.87257236342225,>40%
AUDI_Q7_Total,106.58820823119149,>40%
AUDI_Q8_All_Wheel_Drive,46.94370359749967,>40%
AUDI_Q8_Diesel,0.0,<10%
AUDI_Q8_Electric_BEV,34.51058797780644,30-40%
AUDI_Q8_Hybrid,120.33664792431213,>40%
AUDI_Q8_Petrol,194.23277411267742,>40%
AUDI_Q8_Total,49.0555872283874,>40%
AUDI_R8_All_Wheel_Drive,200.0,>40%
AUDI_R8_Convertibles,200.0,>40%
AUDI_R8_Petrol,200.0,>40%
AUDI_R8_Total,200.0,>40%
AUDI_SONSTIGE_All_Wheel_Drive,177.17690577584222,>40%
AUDI_SONSTIGE_Diesel,200.0,>40%
AUDI_SONSTIGE_Electric_BEV,0.0,<10%
AUDI_SONSTIGE_Hybrid,200.0,>40%
AUDI_SONSTIGE_Petrol,200.0,>40%
AUDI_SONSTIGE_Total,170.79777645464773,>40%
AUDI_TT_All_Wheel_Drive,200.0,>40%
AUDI_TT_Convertibles,200.0,>40%
AUDI_TT_Petrol,200.0,>40%
AUDI_TT_Total,200.0,>40%
BENTLEY_BENTAYGA_All_Wheel_Drive,200.0,>40%
BENTLEY_BENTAYGA_Hybrid,66.66666666666666,>40%
BENTLEY_BENTAYGA_Petrol,200.0,>40%
BENTLEY_BENTAYGA_Total,200.0,>40%
BENTLEY_CONTINENTAL_All_Wheel_Drive,200.0,>40%
BENTLEY_CONTINENTAL_Convertibles,200.0,>40%
BENTLEY_CONTINENTAL_Hybrid,133.33333333333331,>40%
BENTLEY_CONTINENTAL_Petrol,200.0,>40%
BENTLEY_CONTINENTAL_Total,200.0,>40%
BMW_1ER_All_Wheel_Drive,166.71567609008315,>40%
BMW_1ER_Diesel,117.76045067303606,>40%
BMW_1ER_Electric_BEV,0.0,<10%
BMW_1ER_Hybrid,135.59686790416396,>40%
BMW_1ER_Petrol,80.81961085854837,>40%
BMW_1ER_Total,33.62203744690215,30-40%
BMW_2ER_All_Wheel_Drive,74.89419488271265,>40%
BMW_2ER_Diesel,133.28379563404812,>40%
BMW_2ER_Hybrid,83.84896768404882,>40%
BMW_2ER_Petrol,18.450201367991614,10-20%
BMW_2ER_Total,18.25324622704967,10-20%
BMW_3ER_All_Wheel_Drive,31.787118144206676,30-40%
BMW_3ER_Diesel,0.0,<10%
BMW_3ER_Hybrid,14.52260001411077,10-20%
BMW_3ER_Petrol,25.939479509120694,20-30%
BMW_3ER_Total,7.429734722769177,<10%
BMW_4ER_All_Wheel_Drive,39.99285877384737,30-40%
BMW_4ER_Convertibles,67.15316350845865,>40%
BMW_4ER_Electric_BEV,37.418721719883024,30-40%
BMW_4ER_Hybrid,35.29178070663443,30-40%
BMW_4ER_Petrol,37.45484084421715,30-40%
BMW_4ER_Total,24.337308635205577,20-30%
BMW_5ER_All_Wheel_Drive,93.1651837698022,>40%
BMW_5ER_Electric_BEV,62.952034416874284,>40%
